NORAD_ID,Name,Distance_km,XRay_Jm2,Neutron_nm2,Gamma_radsSi,Effects_List,Prompt_Status,Corrected_Argus_krad,Inclination_deg,Mean_Alt_km,Constellation
45225,STARLINK-1215,2341.053296726305,58.75343596039188,40.8719554507074,6.38624303917303e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,375177.16638247855,53.1598,481.1222669438449,STARLINK (LEO)
45227,STARLINK-1221,8454.521447299661,0.0,0.0,0.0,['NOMINAL'],Nominal,372445.0279064826,53.0655,439.38772773037,STARLINK (LEO)
45228,STARLINK-1222,12434.299222867805,0.0,0.0,0.0,['NOMINAL'],Nominal,371807.58170268853,53.0549,411.6060161496981,STARLINK (LEO)
45229,STARLINK-1226,2213.784837994896,65.70297797786607,45.70641946286335,7.1416280410723985e-09,"['X-RAY:SGEMP_FATAL', 'X-RAY:IONIZ_UPSET']",Fatal/Destroyed,374502.15783668414,53.15840000000001,464.8626216319408,STARLINK (LEO)
45230,STARLINK-1227,12405.282711517004,0.0,0.0,0.0,['NOMINAL'],Nominal,370385.32850232744,53.1567,468.57812067378006,STARLINK (LEO)
45235,STARLINK-1246,12766.806755694786,0.0,0.0,0.0,['NOMINAL'],Nominal,372554.3508680161,53.1594,480.9652200306404,STARLINK (LEO)
45237,STARLINK-1270,13503.645819089901,0.0,0.0,0.0,['NOMINAL'],Nominal,371921.0058262737,53.0487,413.4768866743452,STARLINK (LEO)
45360,STARLINK-1279,11380.550615668835,0.0,0.0,0.0,['NOMINAL'],Nominal,368547.76199802465,53.0427,373.25642764494813,STARLINK (LEO)
45361,STARLINK-1301,6618.610974723725,0.0,0.0,0.0,['NOMINAL'],Nominal,366765.8611089067,53.043200000000006,354.9817881020233,STARLINK (LEO)
45366,STARLINK-1262,11660.908334702433,0.0,0.0,0.0,['NOMINAL'],Nominal,367411.1972976787,53.1581,483.8578380476935,STARLINK (LEO)
